id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2018-661496,2018-02-19,000001,Vente en l'état futur d'achèvement,196800,,,,,,69081,Écully,69,,,69081000AS0134,,,56,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661497,2018-02-23,000001,Vente en l'état futur d'achèvement,108000,,,,,,69081,Écully,69,,,69081000AS0134,,,29,,,,,,,,,,1,,,,,,,,,,4.771077,45.781611
2018-661498,2018-02-28,000001,Vente en l'état futur d'achèvement,260599,,,,,,69081,Écully,69,,,69081000AC0027,,,330,,,,,,,,,,1,,,,,,,,,,4.7796,45.789991
2018-661498,2018-02-28,000001,Vente en l'état futur d'achèvement,260599,,,,,,69081,Écully,69,,,69081000AC0027,,,242,58,,,,,,,,,1,,,,,,,,,,4.7796,45.789991
2018-661499,2018-02-20,000001,Vente en l'état futur d'achèvement,120800,,,,,,69086,Fleurieux-sur-l'Arbresle,69,,,69086000BD0110,,,38,,,,,,,,,,1,,,,,,,,,,4.651536,45.836561
2018-661499,2018-02-20,000001,Vente en l'état futur d'achèvement,120800,,,,,,69086,Fleurieux-sur-l'Arbresle,69,,,69086000BD0110,,,11,,,,,,,,,,1,,,,,,,,,,4.651536,45.836561
2018-661499,2018-02-20,000001,Vente en l'état futur d'achèvement,120800,,,,,,69086,Fleurieux-sur-l'Arbresle,69,,,69086000BD0110,,,24,,,,,,,,,,1,,,,,,,,,,4.651536,45.836561
2018-661500,2018-03-09,000001,Vente en l'état futur d'achèvement,347000,,,,,,69069,Craponne,69,,,69069000AD0327,,,75,,,,,,,,,,1,,,,,,,,,,4.727796,45.748392
2018-661500,2018-03-09,000001,Vente en l'état futur d'achèvement,347000,,,,,,69069,Craponne,69,,,69069000AD0327,,,19,,,,,,,,,,1,,,,,,,,,,4.727796,45.748392
2018-661500,2018-03-09,000001,Vente en l'état futur d'achèvement,347000,,,,,,69069,Craponne,69,,,69069000AD0327,,,64,,,,,,,,,,1,,,,,,,,,,4.727796,45.748392
